,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,test_used,effect_size,ci_lower,ci_upper
0,P3,6.371462542087542,2.6426774691358026,1.7853630050505052,3.0905226851851855,5.698542556980057,2.954974279835391,1.5988737535612536,3.8096412037037037,3.154488636363636,4.274836182336182,6.251365740740741,1.699059829059829,8.861547067901235,5.448346354166667,,8.348713348765433,3.107306134259259,4.140582561728395,Cliff's Delta,0.41975308641975306,-0.04969135802469134,0.8518518518518519
1,P9,0.6699671296296296,0.83362144510582,1.0799167556980058,0.6737126068376068,1.7345613425925925,0.2013102650063857,0.6303551793981482,3.9377546296296297,0.8762119708994709,1.3401546493301812,8.07659336419753,1.5364648437500001,0.3425938786008231,2.798989197530864,2.384428418803419,1.1010151748971193,,1.0154535934744269,Cliff's Delta,0.41975308641975306,-0.08641975308641975,0.8518518518518519
2,P2,2.8354166666666667,,2.985327380952381,3.3317361111111112,8.231095679012347,1.335962577160494,,0.6849493634259259,,4.106005015432099,3.2141501322751322,4.424606481481481,2.530651455026455,2.717085905349794,2.997818287037037,1.7787101337448559,3.382673611111111,3.577341119528619,Cliff's Delta,0.1728395061728395,-0.2716049382716049,0.5558641975308639
3,P8,0.8255096726190476,1.0467116274928776,2.7974581128747795,2.63078125,1.361,1.3813001543209877,2.463537037037037,1.9916577635327637,1.646766975308642,2.2044949494949493,3.2710908564814813,1.1317476851851853,1.41791832010582,1.9327314814814816,,2.8347089947089947,1.9071089616402117,1.7619317129629632,Cliff's Delta,0.2222222222222222,-0.2839506172839506,0.691358024691358
4,P1,1.5766325231481482,1.0401988017429193,0.6406226053639846,0.9841300154320987,0.7086669685990338,0.49376328875171466,0.9225195868945869,1.1914068930041153,0.5931643518518518,0.7038973063973064,1.7042081404320986,4.579775132275132,0.9885987654320988,28.108819444444446,1.5717264660493828,0.8426921296296296,1.2369194688109162,1.6349338624338625,Cliff's Delta,0.6049382716049383,0.16049382716049382,0.9506172839506173
7,P7,2.5467974887766553,0.4397510090218424,0.4631018518518518,0.33445312499999996,1.5300613929146538,0.1502854938271605,0.6884581320450885,0.7122453703703703,,1.9602387914230017,0.7265509259259259,2.504428606237817,0.7344361772486773,1.0426629273504273,,0.019608961640211642,0.49017633442265796,0.9939265046296296,Cliff's Delta,0.24691358024691357,-0.1978395061728395,0.7160493827160493
8,P5,0.8382539682539683,8.235597993827161,4.440460069444445,,3.129075617283951,2.5285364057239055,,,,2.1094640313390314,3.021570023148148,4.023572530864197,2.048175925925926,14.14341435185185,,0.503431712962963,2.5520466820987653,3.903091724537037,Cliff's Delta,-0.07407407407407407,-0.4444444444444444,0.2839506172839506
9,P14,3.1206898849607185,0.9105675582990398,0.38667245370370373,0.9910069444444444,1.2000655864197531,0.12685231481481482,1.229447337962963,1.6248790509259259,0.09312268518518518,1.9066084346064816,2.0668188657407405,2.155775462962963,4.721755401234568,5.0417529461279464,2.557886396011396,2.0075072873799726,1.4433015046296296,0.5690119598765432,Cliff's Delta,0.6790123456790124,0.2839506172839506,1.0
10,P6,0.5829012345679012,1.455741898148148,1.9752864583333334,0.7187662037037037,3.4339265046296297,1.2947280092592592,7.904809027777778,2.2262586805555555,8.534633487654322,3.9628800154320984,1.429650848765432,3.917847222222222,1.969045138888889,9.504525462962963,3.883015046296296,2.988371913580247,1.4284997106481483,2.656385582010582,Cliff's Delta,0.2839506172839506,-0.2839506172839506,0.7777777777777778
13,P4,0.8925390624999999,2.002896412037037,0.48190200617283957,2.8233880471380473,1.1882523148148147,0.8910133101851851,2.5549922839506176,2.3023932613168725,2.424284336419753,0.7613888888888889,2.102805555555556,1.512622170781893,1.3695100308641974,0.9003657407407408,2.0207407407407407,0.9364748677248678,0.3678481867283951,2.1084074074074075,Cliff's Delta,-0.25925925925925924,-0.7283950617283951,0.2839506172839506
14,P13,0.4554189814814815,1.402815806878307,1.8447864583333335,3.2854271885521884,3.624388888888889,0.5413062920875421,0.28399537037037037,2.7475831228956227,3.7392433449074076,0.718088768115942,2.1727245370370367,1.5648251028806586,1.3695100308641974,0.9003657407407408,,,0.1742805799220273,1.4046048280423282,Cliff's Delta,-0.2345679012345679,-0.654320987654321,0.19753086419753085
15,P12,1.8258622685185186,1.4718613215488217,1.8907335069444446,1.10463091563786,1.9522685185185185,0.7348311546840959,2.0830839646464647,0.8869818376068376,0.9248173868312757,2.556648148148148,1.9926074735449735,3.3076543209876546,4.645688657407407,1.917435515873016,1.1271875,2.733835978835979,2.0209104938271607,1.9561844135802469,Cliff's Delta,0.7530864197530864,0.3333333333333333,1.0
16,P10,1.887519290123457,0.8475500165343915,0.6911422164351853,0.28811574074074076,0.7189169973544973,0.5709499643874644,0.4208077739197531,0.5216323302469136,1.0534238215488214,0.8562060185185185,1.5940582133058985,1.0411159336419753,0.27103313840155946,0.4120547027290448,,0.6294560185185186,1.0716716269841269,1.527710113960114,Cliff's Delta,0.1728395061728395,-0.37037037037037035,0.7283950617283951
17,P11,1.1462896825396827,1.6770901416122004,0.8867906746031746,1.0844128787878786,0.5736550925925926,0.09996238425925925,1.0102932098765431,1.9559510030864198,0.5388927469135802,0.6479646990740741,0.8860902777777777,1.1281663359788359,0.8753941276803118,0.6900347222222223,2.4129417438271603,0.8647492283950617,0.8758026620370372,0.35311053240740736,Cliff's Delta,-0.16049382716049382,-0.7283950617283951,0.43209876543209874
